incidence_tb,incidence_tb_HIV,incidence_tb_100000,incidence_tb_HIV_100000
61 000 ,460 ,189 ,1.4 
60 000 ,430 ,189 ,1.3 
58 000 ,390 ,189 ,1.3 
56 000 ,360 ,189 ,1.2 
55 000 ,330 ,189 ,1.1 
53 000 ,300 ,189 ,1.1 
52 000 ,280 ,189 ,1 
50 000 ,260 ,189 ,0.98 
49 000 ,240 ,189 ,0.92 
48 000 ,220 ,189 ,0.87 
46 000 ,200 ,189 ,0.83 
44 000 ,190 ,189 ,0.79 
43 000 ,170 ,189 ,0.75 
41 000 ,150 ,189 ,0.7 
39 000 ,140 ,189 ,0.67 
37 000 ,120 ,190 ,0.63 
550 ,8 ,19 ,0.27 
540 ,7 ,19 ,0.25 
530 ,7 ,18 ,0.23 
460 ,5 ,16 ,0.19 
480 ,5 ,17 ,0.18 
490 ,5 ,17 ,0.17 
510 ,5 ,17 ,0.16 
500 ,4 ,17 ,0.14 
520 ,4 ,17 ,0.13 
560 ,4 ,18 ,0.12 
600 ,4 ,20 ,0.12 
650 ,4 ,21 ,0.12 
660 ,3 ,21 ,0.11 
700 ,3 ,23 ,0.1 
650 ,3 ,21 ,0.08 
710 ,3 ,23 ,0.08 
30 000 ,200 ,75 ,0.51 
28 000 ,190 ,72 ,0.48 
26 000 ,170 ,68 ,0.44 
27 000 ,170 ,73 ,0.46 
27 000 ,160 ,73 ,0.44 
28 000 ,160 ,77 ,0.45 
27 000 ,150 ,77 ,0.42 
26 000 ,130 ,74 ,0.37 
27 000 ,120 ,78 ,0.36 
26 000 ,110 ,78 ,0.33 
27 000 ,100 ,80 ,0.32 
25 000 ,90 ,76 ,0.28 
25 000 ,82 ,76 ,0.25 
24 000 ,72 ,74 ,0.23 
23 000 ,63 ,72 ,0.2 
23 000 ,59 ,74 ,0.19 
5 ,,6.5 ,
7 ,,9.5 ,
6 ,,7.6 ,
10 ,,13 ,
3 ,,4.2 ,
8 ,,9.5 ,
9 ,,11 ,
5 ,,5.4 ,
6 ,,6.8 ,
14 ,,17 ,
12 ,,14 ,
8 ,,10 ,
13 ,,17 ,
6 ,,8.1 ,
12 ,,17 ,
14 ,,21 ,
93 000 ,28 000 ,370 ,111 
90 000 ,27 000 ,370 ,111 
88 000 ,26 000 ,376 ,112 
86 000 ,26 000 ,380 ,113 
84 000 ,25 000 ,383 ,112 
82 000 ,24 000 ,384 ,111 
79 000 ,23 000 ,385 ,110 
76 000 ,21 000 ,382 ,107 
73 000 ,20 000 ,379 ,104 
70 000 ,19 000 ,377 ,101 
66 000 ,17 000 ,368 ,96 
61 000 ,15 000 ,350 ,89 
56 000 ,14 000 ,334 ,82 
52 000 ,12 000 ,320 ,76 
48 000 ,11 000 ,308 ,70 
45 000 ,9 600 ,297 ,64 
7 ,2 ,7.5 ,2.1 
3 ,1 ,3.8 ,1.1 
12 ,6 ,13 ,6.8 
3 ,2 ,3.9 ,2.7 
7 ,6 ,7.8 ,6.3 
8 ,3 ,9.2 ,3.1 
