,Cellular subscribers (per 100 population),Cellular subscribers (per 100 population),Cellular subscribers (per 100 population),Cellular subscribers (per 100 population)
Country,2013,2012,2011,2010
Afghanistan,70,60,54,41
Albania,116,111,96,142
Algeria,102,98,99,92
Andorra,81,81,75,77
Angola,62,47,48,47
Antigua and Barbuda,,143,196,189
Argentina,159,152,135,142
Armenia,112,112,104,125
Australia,107,106,108,101
Austria,156,161,155,146
Azerbaijan,108,109,109,99
Bahamas,76,81,86,125
Bahrain,166,161,128,124
Bangladesh,67,63,56,46
Barbados,108,123,127,128
Belarus,119,114,112,108
Belgium,111,111,117,113
Belize,53,53,70,62
Benin,93,84,85,80
Bhutan,72,76,66,54
Bolivia (Plurinational State of),98,90,83,72
Bosnia and Herzegovina,91,88,85,83
Botswana,161,154,143,118
Brazil,135,125,124,104
Brunei Darussalam,112,114,109,109
Bulgaria,145,148,141,136
Burkina Faso,66,61,45,35
Burundi,25,23,22,14
Côte d'Ivoire,95,91,86,76
Cabo Verde,,86,79,75
Cambodia,134,129,96,58
Cameroon,70,60,52,44
Canada,78,80,80,71
Central African Republic,30,25,41,22
Chad,36,35,32,24
Chile,134,138,130,116
China,89,80,73,64
Colombia,104,103,98,96
Comoros,47,40,29,22
Congo,105,99,94,94
Cook Islands,,,,38
Costa Rica,146,112,92,65
Croatia,115,115,116,144
Cuba,18,15,12,9
Cyprus,95,98,98,94
Czechia,131,127,123,137
Democratic People's Republic of Korea,10,7,4,2
Democratic Republic of the Congo,44,31,23,18
Denmark,128,118,128,125
Djibouti,28,25,21,19
Dominica,130,152,164,156
Dominican Republic,88,87,87,90
Ecuador,112,106,105,102
Egypt,122,120,101,87
El Salvador,136,137,134,124
Equatorial Guinea,68,68,59,57
Eritrea,6,5,4,4
Estonia,160,160,139,123
Ethiopia,27,22,17,8
Fiji,101,98,84,81
Finland,172,172,166,156
France,99,97,95,101
Gabon,215,179,117,107
Gambia,100,85,79,86
Georgia,115,108,102,91
Germany,119,112,132,127
Ghana,108,101,85,71
Greece,117,120,106,108
Grenada,126,121,,117
Guatemala,140,138,140,126
Guinea,63,42,44,40
Guinea-Bissau,74,63,56,39
Guyana,69,69,70,74
Haiti,69,60,41,40
Honduras,96,93,104,125
Hungary,116,116,117,120
Iceland,108,108,106,107
India,71,70,72,61
Indonesia,122,114,103,92
Iran (Islamic Republic of),84,76,75,91
Iraq,96,82,78,76
Ireland,103,107,108,105
Israel,123,121,122,133
Italy,159,160,158,150
Jamaica,100,96,108,116
Japan,115,111,105,95
Jordan,142,128,118,107
Kazakhstan,181,186,156,121
Kenya,71,71,67,62
Kiribati,17,16,14,10
Kuwait,190,157,175,161
Kyrgyzstan,121,124,116,99
Lao People's Democratic Republic,66,65,87,65
Latvia,137,112,103,102
Lebanon,81,81,79,68
Lesotho,86,75,56,45
Liberia,60,57,49,39
Libya,165,156,156,172
Lithuania,151,165,151,147
Luxembourg,149,145,148,143
Madagascar,36,39,41,37
Malawi,32,29,26,20
Malaysia,145,141,127,119
Maldives,181,166,166,157
Mali,129,98,68,48
Malta,130,127,125,109
Marshall Islands,,,,7
Mauritania,103,106,94,79
Mauritius,123,120,99,92
Mexico,86,83,82,81
Micronesia (Federated States of),30,30,,25
Monaco,94,88,90,74
Mongolia,124,121,105,91
Montenegro,160,181,,185
Morocco,129,120,113,100
Mozambique,48,36,33,31
Myanmar,13,10,3,1
Namibia,110,95,96,67
Nauru,,68,65,60
Nepal,72,60,44,31
Netherlands,114,118,,115
New Zealand,106,110,109,115
Nicaragua,112,86,82,65
Niger,39,31,30,25
Nigeria,73,67,59,55
Niue,,,,0
Norway,117,117,116,116
Oman,155,159,169,166
Pakistan,70,67,62,57
Palau,90,83,75,71
Panama,163,178,189,185
Papua New Guinea,41,38,34,28
Paraguay,104,102,99,92
Peru,98,98,110,100
Philippines,105,107,99,86
Poland,150,140,131,123
Portugal,113,116,115,142
Qatar,153,127,123,132
Republic of Korea,111,109,109,105
Republic of Moldova,106,102,105,89
Romania,106,105,109,115
Russian Federation,153,183,179,166
Rwanda,57,50,41,33
Saint Kitts and Nevis,142,157,,153
Saint Lucia,116,126,123,114
Saint Vincent and the Grenadines,115,124,121,121
Samoa,,,,91
San Marino,117,115,112,76
Sao Tome and Principe,65,65,68,62
Saudi Arabia,177,187,191,188
Senegal,93,84,73,67
Serbia,119,96,125,129
Seychelles,147,148,146,136
Sierra Leone,44,37,36,34
Singapore,156,152,150,145
Slovakia,114,112,109,108
Slovenia,110,109,107,105
Solomon Islands,58,55,50,6
Somalia,49,23,7,7
South Africa,148,131,127,100
South Sudan,25,21,,
Spain,107,108,113,112
Sri Lanka,96,92,87,83
Sudan,73,74,56,41
Suriname,127,106,179,170
Swaziland,72,65,64,62
Sweden,124,125,119,116
Switzerland,134,130,131,124
Syrian Arab Republic,56,59,63,58
Tajikistan,92,82,91,86
Thailand,138,127,112,104
The former Yugoslav republic of Macedonia,106,106,107,105
Timor-Leste,57,56,53,53
Togo,63,50,50,41
Tonga,55,53,53,52
Trinidad and Tobago,145,141,136,141
Tunisia,116,118,117,106
Turkey,93,91,89,85
Turkmenistan,117,76,69,63
Tuvalu,34,28,22,25
Uganda,44,45,48,38
Ukraine,138,130,123,119
United Arab Emirates,172,150,149,145
United Kingdom of Great Britain and Northern Ireland,124,135,131,131
United Republic of Tanzania,56,57,56,47
United States of America,96,95,93,90
Uruguay,155,147,141,132
Uzbekistan,74,71,92,76
Vanuatu,59,59,56,119
Venezuela (Bolivarian Republic of),102,102,98,96
Viet Nam,131,148,143,175
Yemen,69,58,47,46
Zambia,72,75,61,42
Zimbabwe,96,92,72,61
